#j2=0.01, jx=0.05 48*4, M=10000
#r    D(r)
1 -0.00388261
2 -0.00217349
3 -0.00131265
4 -0.000851108
5 -0.000582147
6 -0.000415478
7 -0.000278187
8 -0.000236485
9 -0.000236118
10 -0.000242224
11 -0.000210312
12 -0.000160658
13 -0.000130781
14 -0.000127641
15 -0.000133236
16 -0.000123413
17 -9.8775e-05
18 -7.6937e-05
19 -6.95454e-05
20 -7.29776e-05
21 -7.07955e-05
22 -6.03967e-05
23 -4.53583e-05
24 -3.68719e-05
25 -3.77142e-05
26 -3.63102e-05
27 -3.37494e-05
28 -2.7396e-05
29 -2.05955e-05
30 -1.87646e-05
31 -1.09239e-05





#j2=0, jx=0.05 48*4, M=10000
#r    D(r)
1 -0.00345873
2 -0.00199387
3 -0.00120996
4 -0.00091641
5 -0.000451462
6 -0.000229176
7 -0.000105276
8 -0.000120149
9 -0.000186593
10 -0.000198025
11 -0.000145654
12 -6.5042e-05
13 -2.60164e-05
14 -4.6942e-05
15 -8.89435e-05
16 -0.000103516
17 -7.44649e-05
18 -3.29296e-05
19 -1.66311e-05
20 -3.36777e-05
21 -5.95594e-05
22 -6.39534e-05
23 -4.47207e-05
24 -2.12534e-05
25 -1.39836e-05
26 -2.46268e-05
27 -3.261e-05
28 -3.40193e-05
29 -2.90509e-05
30 -2.55196e-05
31 -2.55491e-05
