#j2=0.05 jx=0.05 36*6
#r  theta_ba  theta_bc
1 2.66324 -2.69476
2 2.1758 -2.2907
3 2.05835 -2.07057
4 1.97561 -1.99015
5 2.04787 -2.06869
6 2.07532 -2.08363
7 1.97357 -1.97771
8 1.96968 -1.97368
9 2.06956 -2.07402
10 2.0325 -2.03657
11 1.93917 -1.94355
12 2.01764 -2.02197
13 2.07173 -2.07575
14 1.98095 -1.98547
15 1.95293 -1.95763
16 2.06053 -2.06592
17 2.04754 -2.0524
18 1.94573 -1.95031
19 2.0088 -2.0139
20 2.08686 -2.09195
21 2.01304 -2.01745
22 1.97792 -1.98226
23 2.09616 -2.10054
24 2.11667 -2.12037
25 2.04654 -2.04902
26 2.13469 -2.13638
27 2.3062 -2.3076
28 2.45355 -2.45472
29 2.64255 -2.64336



#j2=0.1 jx=0.05 36*6
#r  theta_ba  theta_bc
1 3.05359 -3.05865
2 2.90244 -2.94666
3 2.7762 -2.79462
4 2.83909 -2.83406
5 2.89657 -2.89563
6 2.86945 -2.86996
7 2.78635 -2.7872
8 2.84178 -2.84276
9 2.88649 -2.88684
10 2.85376 -2.85427
11 2.77998 -2.78077
12 2.85308 -2.85359
13 2.88467 -2.88508
14 2.84003 -2.84078
15 2.77939 -2.78027
16 2.863 -2.86351
17 2.88256 -2.88298
18 2.82414 -2.82477
19 2.78287 -2.78369
20 2.87165 -2.87211
21 2.87979 -2.88031
22 2.80232 -2.80293
23 2.78682 -2.78776
24 2.88007 -2.88057
25 2.87943 -2.87994
26 2.76693 -2.7676
27 2.78633 -2.78719
28 2.88754 -2.8876
29 2.94809 -2.94829





#j2=0.15 jx=0.05 36*6
#r  theta_ba  theta_bc
1 3.06525 -3.06628
2 2.96309 -2.98186
3 2.87865 -2.84891
4 2.97096 -2.96733
5 2.97674 -2.9758
6 2.9552 -2.95651
7 2.87004 -2.87143
8 2.95646 -2.95807
9 2.96917 -2.96887
10 2.94909 -2.9496
11 2.85666 -2.8587
12 2.95898 -2.95981
13 2.96682 -2.96664
14 2.94246 -2.94302
15 2.85481 -2.85788
16 2.9615 -2.96157
17 2.96495 -2.96458
18 2.93412 -2.93421
19 2.86767 -2.87081
20 2.96263 -2.96277
21 2.96291 -2.9631
22 2.92263 -2.92356
23 2.88381 -2.88668
24 2.96278 -2.96284
25 2.96214 -2.96187
26 2.9047 -2.90615
27 2.88762 -2.88898




