#j2=0.05 jx=0.05 48*4
#r  theta_ba  theta_bc
1 3.04231 -3.11572
2 2.66233 -2.91546
3 2.73371 -2.80864
4 2.58491 -2.56377
5 2.67443 -2.65566
6 2.63089 -2.64012
7 2.60416 -2.60846
8 2.53605 -2.5351
9 2.53842 -2.53729
10 2.56794 -2.5681
11 2.56507 -2.56543
12 2.52 -2.52013
13 2.51006 -2.51012
14 2.54895 -2.54912
15 2.55859 -2.55878
16 2.52059 -2.52075
17 2.50345 -2.50357
18 2.54536 -2.54552
19 2.56277 -2.56298
20 2.52799 -2.52811
21 2.50922 -2.50933
22 2.54967 -2.5498
23 2.57772 -2.57794
24 2.54852 -2.5486
25 2.54929 -2.54936
26 2.5806 -2.58073
27 2.65903 -2.6592
28 2.61741 -2.61744
29 2.81069 -2.81078
30 2.71472 -2.71477





#j2=0.1 jx=0.05 48*4
#r  theta_ba  theta_bc
1 3.05348 -3.0553
2 2.9893 -3.00328
3 2.98358 -2.98274
4 2.96698 -2.96899
5 2.96551 -2.96546
6 2.9821 -2.98346
7 2.98844 -2.98844
8 2.98578 -2.98597
9 2.97983 -2.97983
10 2.97088 -2.97102
11 2.97118 -2.9712
12 2.98193 -2.98198
13 2.98578 -2.98578
14 2.98418 -2.98419
15 2.97863 -2.97864
16 2.97104 -2.97105
17 2.97428 -2.97426
18 2.98274 -2.98275
19 2.98538 -2.98537
20 2.98338 -2.98338
21 2.97671 -2.97678
22 2.96976 -2.96973
23 2.97647 -2.97645
24 2.98381 -2.98381
25 2.98552 -2.98553
26 2.98261 -2.9826
27 2.97414 -2.97413
28 2.96824 -2.96824
29 2.97823 -2.97823
30 2.98485 -2.98484
31 2.98594 -2.98593
32 2.98175 -2.98174
33 2.96795 -2.96794
34 2.96275 -2.96273
35 2.97551 -2.9755
36 2.98088 -2.98087
37 2.98061 -2.9806
38 3.00692 -3.00692




#j2=0.15 jx=0.05 48*4
#r  theta_ba  theta_bc
1 3.05348 -3.0553
2 2.9893 -3.00328
3 2.98358 -2.98274
4 2.96698 -2.96899
5 2.96551 -2.96546
6 2.9821 -2.98346
7 2.98844 -2.98844
8 2.98578 -2.98597
9 2.97983 -2.97983
10 2.97088 -2.97102
11 2.97118 -2.9712
12 2.98193 -2.98198
13 2.98578 -2.98578
14 2.98418 -2.98419
15 2.97863 -2.97864
16 2.97104 -2.97105
17 2.97428 -2.97426
18 2.98274 -2.98275
19 2.98538 -2.98537
20 2.98338 -2.98338
21 2.97671 -2.97678
22 2.96976 -2.96973
23 2.97647 -2.97645
24 2.98381 -2.98381
25 2.98552 -2.98553
26 2.98261 -2.9826
27 2.97414 -2.97413
28 2.96824 -2.96824
29 2.97823 -2.97823
30 2.98485 -2.98484
31 2.98594 -2.98593
32 2.98175 -2.98174
33 2.96795 -2.96794
34 2.96275 -2.96273
35 2.97551 -2.9755
36 2.98088 -2.98087
37 2.98061 -2.9806
38 3.00692 -3.00692





#j2=0.01 jx=0.05 48*4
#r  theta_ba  theta_bc
1 3.01892 -2.98301
2 2.37397 -2.25381
3 2.25483 -1.86188
4 2.04958 -1.9264
5 2.05066 -2.08713
6 2.01024 -2.04126
7 2.01613 -2.02653
8 2.00607 -2.02456
9 2.04007 -2.04253
10 2.04498 -2.04644
11 2.03015 -2.03075
12 2.00424 -2.00644
13 2.00265 -2.00605
14 2.0258 -2.02679
15 2.04683 -2.0474
16 2.03992 -2.03904
17 2.01167 -2.00954
18 1.98991 -1.98908
19 2.00723 -2.0011
20 2.02649 -2.02886
21 2.04297 -2.04398
22 1.99266 -2.00193
23 1.96225 -1.99312
24 1.93702 -1.93983
25 1.97496 -2.01917
26 1.99264 -2.00179
27 1.997 -1.94879
28 1.86263 -1.8284
29 2.04693 -1.73862
30 1.78149 -1.83098
31 2.19553 -1.99667
32 1.71648 -1.80881
33 2.27888 -2.72395
34 1.66719 -1.52636
35 -2.91554 1.29751
36 1.79469 -1.65846
37 -2.72283 1.18757



