#j2=0.05 jx=0.05 48*4
#r P_ba/P_bb P_bc/P_bb
1 0.130588 0.131882
2 0.378834 0.390107
3 0.699024 0.699539
4 0.951188 0.95566
5 1.09439 1.09963
6 0.937359 0.936468
7 0.914486 0.912931
8 1.12359 1.12068
9 1.05063 1.0482
10 0.901537 0.900136
11 1.012 1.01013
12 1.1504 1.14772
13 0.927823 0.926854
14 0.913358 0.911955
15 1.11502 1.11263
16 1.08347 1.0813
17 0.907999 0.906554
18 0.9751 0.973413
19 1.1424 1.13988
20 0.970307 0.968725
21 0.876558 0.875109
22 1.03065 1.02838
23 1.0165 1.01405
24 0.834598 0.833017
25 0.828837 0.827499
26 0.928198 0.92666
27 0.782479 0.78178
28 0.564332 0.564185
29 0.365973 0.366003





#j2=0.1 jx=0.05 48*4
#r P_ba/P_bb P_bc/P_bb
1 0.305286 0.305415
2 0.264811 0.288245
3 0.226013 0.235131
4 0.482287 0.472848
5 0.538611 0.537222
6 0.383036 0.382523
7 0.325577 0.325102
8 0.539732 0.539256
9 0.520098 0.519541
10 0.377274 0.376829
11 0.354772 0.354331
12 0.569682 0.56908
13 0.500807 0.500289
14 0.361722 0.361307
15 0.383509 0.383074
16 0.58485 0.584271
17 0.478286 0.477765
18 0.344622 0.344184
19 0.419676 0.419269
20 0.591301 0.590807
21 0.453123 0.452663
22 0.322857 0.322472
23 0.468386 0.467993
24 0.595524 0.59522
25 0.421421 0.421111
26 0.275427 0.275292
27 0.543779 0.544043
28 0.420453 0.420689
29 0.378573 0.378729



