location a0 a1 a2 stdiv
1 0.00339416 2.60188 -3658.23 5.62598e-07
2 0.00175477 1.4123 -2172.53 7.90077e-08
3 0.000675561 -0.0553846 -170.888 1.7351e-07
4 0.00032466 -0.189407 -22.2737 8.30349e-08
5 0.000355452 0.454386 -913.975 1.45337e-07
6 0.000352876 0.344438 -774.233 5.6587e-08
7 0.000250457 -0.321352 0 3.72379e-06
8 0.000194951 -0.332655 273.263 1.17852e-07
9 0.000221761 0.127473 -910.923 1.44085e-06
10 0.000209457 -0.0655652 -282.994 3.69409e-08
11 0.000150736 -0.431949 590.391 5.61234e-08
12 0.000146767 -0.46949 704.392 2.88081e-08
13 0.000173628 -0.308607 227.261 5.27477e-08
14 0.000147878 -0.337383 347.743 2.44696e-08
15 0.000104435 -0.475657 866.549 3.16506e-08
16 0.000116731 -0.536229 986.503 2.46413e-08
17 0.00013825 -0.503421 788.253 3.69606e-08
18 0.000104589 -0.421184 699.171 1.17565e-09
19 7.09196e-05 -0.413927 856.268 2.08826e-08
20 9.3447e-05 -0.538598 1113.7 1.07749e-08
21 0.000109025 -0.561019 1079.36 6.5394e-09
22 6.87427e-05 -0.36474 706.909 1.28806e-08
23 4.12278e-05 -0.275697 610.295 1.93819e-08
24 7.17271e-05 -0.468555 1028.39 2.90037e-08
25 8.75915e-05 -0.542719 1150.65 3.05794e-08
