location a0 a1 a2 stdiv
1 -0.0015921 -1.68481 2542.05 5.56747e-07
2 -0.00258442 -1.38981 2361.91 1.91086e-07
3 -0.000907567 0.362299 -195.291 2.5773e-07
4 -0.000186953 0.322578 -419.831 2.23445e-08
5 -0.000201808 -0.378694 591.628 1.61469e-07
6 -0.00031694 -0.266347 491.986 3.03973e-08
7 -0.000172253 0.241494 -417.372 1.49824e-07
8 -6.77277e-05 0.185256 -365.26 2.14071e-08
9 -0.000123084 -0.0938678 297.186 1.27993e-07
10 -0.000151414 0.0112357 172.326 2.83574e-08
11 -7.5417e-05 0.199231 -348.962 7.83396e-08
12 -4.13525e-05 0.14424 -281.828 5.29006e-08
13 -8.50311e-05 0.104276 -59.1081 1.01769e-07
14 -8.88246e-05 0.173769 -206.193 1.61245e-08
15 -3.94724e-05 0.175179 -360.487 5.8818e-08
16 -3.13744e-05 0.148285 -308.853 2.56591e-08
17 -6.14595e-05 0.199741 -319.406 4.4891e-08
18 -5.38531e-05 0.204174 -367.926 1.30621e-08
19 -2.16252e-05 0.127812 -285.128 2.61327e-08
20 -2.56119e-05 0.156083 -357.179 2.20229e-08
21 -4.41101e-05 0.220459 -444.74 7.80274e-09
22 -3.20927e-05 0.167778 -345.821 5.4129e-09
23 -1.32751e-05 0.098892 -247.969 1.65452e-08
24 -2.08235e-05 0.146925 -352.302 5.55571e-09
25 -3.08276e-05 0.193885 -433.913 8.47053e-09
26 -1.90311e-05 0.122751 -279.211 1.04124e-08
27 -nan -nan -nan -nan
