location a0 a1 a2 stdiv
1 0.0502968 15.3913 -24794.9 7.11726e-06
2 -0.038764 -9.1394 11880.6 1.11093e-06
3 0.0124845 -2.42086 4503.83 2.79099e-06
4 -0.000484588 9.36917 -14658.8 4.77513e-06
5 -0.00500058 -12.8646 18393.6 2.50515e-06
6 0.00696643 7.37926 -9756.55 3.8781e-07
7 -0.00360062 -0.969136 1175.87 2.81083e-06
8 -0.000333779 -5.90733 9702.38 3.63257e-06
9 0.00315938 7.87663 -14076.1 2.03322e-06
10 -0.0036026 -4.85135 9922.05 5.58214e-07
11 0.00181413 -0.0947518 -541.5 2.6828e-06
12 0.000701426 3.26083 -6772.9 3.13319e-06
13 -0.0023857 -3.14417 7961.41 1.6917e-06
14 0.00237752 1.1085 -4268.28 5.14601e-07
15 -0.000928525 0.511494 -224.483 1.99687e-06
16 -0.00088 -0.415077 1756.97 2.07832e-06
17 0.00190156 -0.632774 -748.692 9.30018e-07
18 -0.00162362 1.03599 -186.885 4.6387e-07
19 0.000389796 -0.0191343 -653.913 1.14539e-06
20 0.000927682 -1.81504 3088.22 9.27079e-07
21 -0.00151262 2.82563 -4444.11 3.07435e-07
22 0.00110116 -1.88715 2602.99 2.08273e-07
23 -6.68265e-05 -0.61376 1818.45 3.17302e-07
24 -0.000889622 3.09383 -6186.78 1.07181e-07
25 0.00119718 -3.79461 7235.69 1.25651e-07
26 -0.000748494 2.12451 -3803.09 1.53486e-07
27 -nan -nan -nan -nan
