 Nx=          36 Ny=           6 J2= (1.00000000000000,0.000000000000000E+000)  kept_max=       12000
      32      38       1     0.05140191387569    -0.00003821431764
      32      44       2    -0.03944231096670    -0.00000952567570
      32      50       3     0.01231609649056     0.00000136524532
      32      56       4     0.00019081531374    -0.00002195462608
      32      62       5    -0.00594302250851    -0.00000684922099
      32      68       6     0.00751390854672     0.00000047144611
      32      74       7    -0.00367530996301     0.00000401707264
      32      80       8    -0.00075596780646    -0.00000011823432
      32      86       9     0.00371649317516     0.00000077495858
      32      92      10    -0.00393839411930    -0.00000026715638
      32      98      11     0.00180447782320    -0.00000020979343
      32     104      12     0.00092378950752     0.00000005012924
      32     110      13    -0.00259116844677     0.00000011735652
      32     116      14     0.00244064274215    -0.00000015873246
      32     122      15    -0.00088894970307     0.00000008976852
      32     128      16    -0.00090083726516    -0.00000002613474
      32     134      17     0.00184293458683    -0.00000007012510
      32     140      18    -0.00153892659426     0.00000008617749
      32     146      19     0.00038451480745    -0.00000007253855
      32     152      20     0.00079718331889     0.00000000777879
      32     158      21    -0.00130778801419     0.00000005196213
      32     164      22     0.00096213116543    -0.00000005353885
      32     170      23    -0.00010558188374     0.00000004316625
      32     176      24    -0.00067468653625     0.00000000328886
      32     182      25     0.00093129942197    -0.00000005068207
      32     188      26    -0.00059797681857     0.00000005282710
