 Nx=          36 Ny=           6 J2= (1.00000000000000,0.000000000000000E+000)  kept_max=       12000
      32      38       1    -0.07013016039383    -0.00000000000000
      32      44       2     0.05126142490695     0.00000000000000
      32      50       3    -0.00154163931424    -0.00000000000000
      32      56       4     0.01034008418629    -0.00000000000000
      32      62       5     0.00018834618819     0.00000000000000
      32      68       6     0.00289399420740    -0.00000000000000
      32      74       7     0.00001563084272     0.00000000000000
      32      80       8     0.00069294929330    -0.00000000000000
      32      86       9    -0.00004607052600     0.00000000000000
      32      92      10     0.00017777010523    -0.00000000000000
      32      98      11    -0.00001634503642     0.00000000000000
      32     104      12     0.00003764038470     0.00000000000000
      32     110      13    -0.00001780454706    -0.00000000000000
      32     116      14     0.00000107244903    -0.00000000000000
      32     122      15    -0.00000535361700    -0.00000000000000
      32     128      16    -0.00000201553619    -0.00000000000000
      32     134      17    -0.00000716008272    -0.00000000000000
      32     140      18    -0.00000380443974    -0.00000000000000
      32     146      19    -0.00000191311255    -0.00000000000000
      32     152      20    -0.00000210783649    -0.00000000000000
      32     158      21    -0.00000295044495    -0.00000000000000
      32     164      22    -0.00000163189119    -0.00000000000000
      32     170      23    -0.00000066852875    -0.00000000000000
      32     176      24    -0.00000102588284    -0.00000000000000
      32     182      25    -0.00000123357614    -0.00000000000000
      32     188      26    -0.00000058197274    -0.00000000000000
