location a0 a1 a2 stdiv
1 -0.0724816 30.8038 -31380.9 3.1615e-06
2 0.0506929 6.72478 934.397 2.25755e-06
3 -0.00182088 3.93014 -6939.27 1.11301e-07
4 0.0111097 -11.1183 22356.1 2.20748e-06
5 0.000378017 -2.70221 5073.81 3.73036e-07
6 0.00336287 -6.82314 14275.7 7.80631e-07
7 6.09422e-05 -0.672017 1520.53 1.75382e-07
8 0.000924318 -3.41676 7627.26 5.27858e-07
9 -4.34226e-05 -0.0376071 64.5498 5.05465e-08
10 0.000271727 -1.40376 3292.22 2.15222e-07
11 -2.09518e-05 0.067644 -147.837 4.76177e-09
12 6.52005e-05 -0.418066 1038.14 9.30015e-08
13 -1.97975e-05 0.0274054 -43.0043 1.0502e-08
14 8.14625e-06 -0.109653 294.893 2.15313e-08
15 -7.41602e-06 0.0298473 -60.8852 2.76337e-09
16 -1.37736e-06 -0.0111872 41.408 8.75692e-09
17 -9.51574e-06 0.0340091 -68.8806 1.34564e-10
18 -4.95798e-06 0.0163503 -29.8255 2.49153e-09
19 -3.10032e-06 0.0176087 -40.1413 1.91139e-09
20 -3.30977e-06 0.0177601 -39.9616 7.53392e-10
21 -4.6832e-06 0.0257562 -59.2523 2.84e-09
22 -2.67182e-06 0.015525 -36.2704 2.61417e-09
23 -1.23113e-06 0.00849028 -20.7344 1.25386e-09
24 -1.89805e-06 0.0132049 -32.6415 2.09787e-09
25 -2.28374e-06 0.0159179 -39.4917 2.7851e-09
26 -1.0962e-06 0.00781291 -19.5482 1.47171e-09
27 -nan -nan -nan -nan
