#J2          E                  S

0.0     -191.398214640736  4.9518123451 
0.0025  -188.609593445806  4.3787059724  
0.005   -187.588230481484  4.2188286866 
0.0075  -186.878057948263  4.1934995345 
0.010   -186.307781448103  4.1822894074 
0.0125  -185.831571457738  4.1719203202 
0.015   -185.422641564333  4.1729151723 
0.0175  -185.066840491146  4.1825134093 
0.0200  -184.755100485780  4.2316407182   
0.0225  -184.596619075714  4.7969363375 
0.025   -184.416343477695  4.7770390545 
0.030   -184.130281656835  4.7446761172 
0.035   -183.925595482541  4.7231085208  
0.04    -183.787800853873  4.7056466144 
0.045   -183.707055299364  4.6872454218   
0.050   -183.676318945589  4.6676307177 
0.055   -183.691084878109  4.6418624982 
0.06    -183.748537316921  4.6050071613 
0.065   -183.848171473646  4.5448914152 
0.070   -183.991209146661  4.4420640901 
0.075   -184.180733635871  4.2684446698 
0.08    -184.417051570186  4.0342738752  
0.085   -184.697081495693  3.7752343314 
0.09    -185.015469067171  3.5312216895   
0.095   -185.366469340747  3.3138781318 
0.100   -185.744564564973  3.1354070297   
0.105   -186.144711084146  2.9971714742 
0.110   -186.562457248464  2.8924244521 
0.115   -186.994236497997  2.8153889227 
0.120   -187.437286776637  2.7596598903
0.125   -187.889526135070  2.7201968459   
0.13    -188.349358355407  2.6931919131   
0.135   -188.815572952276  2.6758027966    
0.14    -189.287266344240  2.6661382704  
0.145   -189.763708567488  2.6626453693 
0.15    -190.244329577814  2.6641135250
0.155   -190.728699014943  2.6697770744  
